Country,CountryCode,Indicator Name,Indicator Code,2007,2008,2009,2010,2011,2012,2006
Liberia,LBR,GINI index,SI.POV.GINI,38.16,,,,,,
Lithuania,LTU,GINI index,SI.POV.GINI,,37.57,,,,,
Low & middle income,LMY,GINI index,SI.POV.GINI,,,,,,,
Low income,LIC,GINI index,SI.POV.GINI,,,,,,,
Lower middle income,LMC,GINI index,SI.POV.GINI,,,,,,,
Luxembourg,LUX,GINI index,SI.POV.GINI,,,,,,,
"Macedonia, FYR",MKD,GINI index,SI.POV.GINI,,44.2,43.17,43.56,,,42.78
Madagascar,MDG,GINI index,SI.POV.GINI,,,,44.11,,,
Malawi,MWI,GINI index,SI.POV.GINI,,,,43.91,,,
Malaysia,MYS,GINI index,SI.POV.GINI,46,,46.21,,,,
Maldives,MDV,GINI index,SI.POV.GINI,,,,,,,
Mali,MLI,GINI index,SI.POV.GINI,,,,33.02,,,38.99
Mauritania,MRT,GINI index,SI.POV.GINI,,40.46,,,,,
Mexico,MEX,GINI index,SI.POV.GINI,,48.28,,47.16,,,48.11
"Micronesia, Fed. Sts.",FSM,GINI index,SI.POV.GINI,,,,,,,
Middle East & North Africa (developing only),MNA,GINI index,SI.POV.GINI,,,,,,,
Middle income,MIC,GINI index,SI.POV.GINI,,,,,,,
Moldova,MDA,GINI index,SI.POV.GINI,35.27,35.3,34.02,33.03,,,36.13
Mongolia,MNG,GINI index,SI.POV.GINI,,36.52,,,,,
Montenegro,MNE,GINI index,SI.POV.GINI,30.83,29.99,30.26,28.58,,,29.33
Morocco,MAR,GINI index,SI.POV.GINI,40.88,,,,,,
Mozambique,MOZ,GINI index,SI.POV.GINI,,45.66,,,,,
Namibia,NAM,GINI index,SI.POV.GINI,,,,,,,
Nepal,NPL,GINI index,SI.POV.GINI,,,,32.82,,,
Netherlands,NLD,GINI index,SI.POV.GINI,,,,,,,
New Zealand,NZL,GINI index,SI.POV.GINI,,,,,,,
Nicaragua,NIC,GINI index,SI.POV.GINI,,,,,,,
Niger,NER,GINI index,SI.POV.GINI,,34.55,,,,,
Nigeria,NGA,GINI index,SI.POV.GINI,,,,48.83,,,
Norway,NOR,GINI index,SI.POV.GINI,,,,,,,
Pakistan,PAK,GINI index,SI.POV.GINI,,30.02,,,,,32.74
Panama,PAN,GINI index,SI.POV.GINI,,,52.03,51.92,,,55.06
Papua New Guinea,PNG,GINI index,SI.POV.GINI,,,,,,,
Paraguay,PRY,GINI index,SI.POV.GINI,53.31,52.05,51.04,52.42,,,54.85
Peru,PER,GINI index,SI.POV.GINI,51.65,48.95,49.05,48.14,,,50.87
Philippines,PHL,GINI index,SI.POV.GINI,,,42.98,,,,44.04
Poland,POL,GINI index,SI.POV.GINI,34.02,34.21,34.07,33.75,32.73,,34.13
Portugal,PRT,GINI index,SI.POV.GINI,,,,,,,
Qatar,QAT,GINI index,SI.POV.GINI,41.1,,,,,,
Romania,ROM,GINI index,SI.POV.GINI,32.1,31.15,30,24.24,27.42,,32.11
Russian Federation,RUS,GINI index,SI.POV.GINI,43.71,42.27,40.11,,,,42.13
Rwanda,RWA,GINI index,SI.POV.GINI,,,,,50.82,,53.09
