District ID,District Name,School ID,School Name,Domain,School Year,Number of Students Tested,level1,level2,level3
241,Capitol Region Education Council,1,East Hartford/Glastonbury Magnet School,Creative / Aesthetic,2010-11,43,11.6,44.2,44.2
241,Capitol Region Education Council,4,International Magnet School for Global Citizenship,Creative / Aesthetic,2010-11,58,5.2,24.1,70.7
241,Capitol Region Education Council,31,Montessori Magnet School,Creative / Aesthetic,2010-11,43,2.3,9.3,88.4
241,Capitol Region Education Council,3,Reggio Magnet School of the Arts,Creative / Aesthetic,2010-11,52,9.6,42.3,48.1
241,Capitol Region Education Council,2,University of Hartford Multiple Intelligences Magnet School,Creative / Aesthetic,2010-11,59,3.4,27.1,69.5
24,Chaplin School District,2,Chaplin Elementary School,Creative / Aesthetic,2010-11,20,0,0,100
287,Charter School for Young Children on Asylum Hill,1,Charter School for Young Children on Asylum Hill  Inc.,Creative / Aesthetic,2010-11,45,0,26.7,73.3
25,Cheshire School District,2,Darcey School,Creative / Aesthetic,2010-11,253,1.2,11.9,87
26,Chester School District,1,Chester Elementary School,Creative / Aesthetic,2010-11,33,0,27.3,72.7
27,Clinton School District,3,Lewin G. Joel Jr. School,Creative / Aesthetic,2010-11,161,7.5,36,56.5
28,Colchester School District,4,Colchester Elementary School,Creative / Aesthetic,2010-11,201,10.9,42.3,46.8
29,Colebrook School District,1,Colebrook Consolidated School,Creative / Aesthetic,2010-11,14,7.1,64.3,28.6
30,Columbia School District,1,Horace W. Porter School,Creative / Aesthetic,2010-11,59,27.1,28.8,44.1
243,Cooperative Educational Services,1,Six-Six Magnet School,Creative / Aesthetic,2010-11,34,0,14.7,85.3
31,Cornwall School District,1,Cornwall Consolidated School,Creative / Aesthetic,2010-11,10,10,20,70
32,Coventry School District,2,Coventry Grammar School,Creative / Aesthetic,2010-11,125,4.8,40,55.2
33,Cromwell School District,2,Edna C. Stevens School,Creative / Aesthetic,2010-11,157,1.9,19.7,78.3
34,Danbury School District,14,Ellsworth Avenue School,Creative / Aesthetic,2010-11,58,31,69,0
34,Danbury School District,11,Great Plain School,Creative / Aesthetic,2010-11,49,32.7,51,16.3
34,Danbury School District,2,Hayestown Avenue School,Creative / Aesthetic,2010-11,70,18.6,35.7,45.7
34,Danbury School District,13,King Street Primary School,Creative / Aesthetic,2010-11,104,35.6,36.5,27.9
34,Danbury School District,5,Mill Ridge Primary School,Creative / Aesthetic,2010-11,94,13.8,40.4,45.7
34,Danbury School District,6,Morris Street School,Creative / Aesthetic,2010-11,55,27.3,60,12.7
34,Danbury School District,8,Park Avenue School,Creative / Aesthetic,2010-11,75,50.7,34.7,14.7
34,Danbury School District,15,Pembroke School,Creative / Aesthetic,2010-11,59,13.6,35.6,50.8
34,Danbury School District,12,Shelter Rock School,Creative / Aesthetic,2010-11,53,24.5,62.3,13.2
34,Danbury School District,10,South Street School,Creative / Aesthetic,2010-11,59,13.6,55.9,30.5
34,Danbury School District,16,Stadley Rough School,Creative / Aesthetic,2010-11,70,27.1,28.6,44.3
35,Darien School District,2,Hindley Elementary School,Creative / Aesthetic,2010-11,92,1.1,5.4,93.5
36,Deep River School District,1,Deep River Elementary School,Creative / Aesthetic,2010-11,48,18.8,81.3,0
37,Derby School District,6,Bradley School,Creative / Aesthetic,2010-11,65,4.6,30.8,64.6
37,Derby School District,4,Irving School,Creative / Aesthetic,2010-11,63,15.9,63.5,20.6
40,East Granby School District,1,Allgrove School,Creative / Aesthetic,2010-11,54,0,5.6,94.4
41,East Haddam School District,1,East Haddam Elementary School,Creative / Aesthetic,2010-11,80,2.5,17.5,80
42,East Hampton School District,1,Memorial School,Creative / Aesthetic,2010-11,136,21.3,41.2,37.5
43,East Hartford School District,9,Anna E. Norris School,Creative / Aesthetic,2010-11,41,4.9,78,17.1
43,East Hartford School District,6,Dr. Franklin H. Mayberry School,Creative / Aesthetic,2010-11,65,10.8,15.4,73.8
43,East Hartford School District,22,Dr. John A. Langford School,Creative / Aesthetic,2010-11,53,20.8,58.5,20.8
43,East Hartford School District,10,Dr. Thomas S. O'Connell School,Creative / Aesthetic,2010-11,50,22,52,26
43,East Hartford School District,20,Governor William Pitkin School,Creative / Aesthetic,2010-11,74,10.8,50,39.2
43,East Hartford School District,5,Hockanum School,Creative / Aesthetic,2010-11,53,15.1,49.1,35.8
43,East Hartford School District,4,Joseph O. Goodwin School,Creative / Aesthetic,2010-11,59,10.2,47.5,42.4
43,East Hartford School District,18,Robert J. O'Brien School,Creative / Aesthetic,2010-11,59,32.2,37.3,30.5
43,East Hartford School District,12,Silver Lane School,Creative / Aesthetic,2010-11,64,12.5,40.6,46.9
