District ID,District Name,School ID,School Name,School Year,Number of Students Tested,Standard CMT Score Summary Average Scale Score,Standard CMT Score Summary Percent at above Goal level,Standard CMT Score Summary Percent at above Proficient level
126,Shelton School District,5,Elizabeth Shelton School,2009-10,106,279.8,82.1,98.1
126,Shelton School District,4,Lafayette School,2009-10,47,234.3,51.1,72.3
126,Shelton School District,8,Long Hill School,2009-10,95,255.5,58.9,87.4
126,Shelton School District,9,Mohegan School,2009-10,86,286.1,82.6,95.3
126,Shelton School District,6,Sunnyside School,2009-10,53,289,84.9,96.2
127,Sherman School District,1,Sherman School,2009-10,47,291.7,91.5,100
270,Side By Side Community School District,1,Side By Side Community School,2009-10,22,252.5,59.1,86.4
128,Simsbury School District,1,Central School,2009-10,55,306.2,90.9,96.4
128,Simsbury School District,6,Latimer Lane School,2009-10,96,301.3,93.8,99
128,Simsbury School District,7,Squadron Line School,2009-10,122,294.4,95.1,100
128,Simsbury School District,3,Tariffville School,2009-10,47,296.1,89.4,100
128,Simsbury School District,4,Tootin' Hills School,2009-10,70,306.8,95.7,97.1
129,Somers School District,51,Mabelle B. Avery Middle School,2009-10,135,270.9,81.5,95.6
132,South Windsor School District,51,Timothy Edwards School,2009-10,331,286.6,88.8,97.9
131,Southington School District,53,John F. Kennedy Middle School,2009-10,248,285.4,90.7,98
131,Southington School District,51,Joseph A. Depaolo Middle School,2009-10,244,283.2,87.3,96.7
133,Sprague School District,1,Sayles School,2009-10,30,264.3,70,93.3
134,Stafford School District,52,Stafford Middle School,2009-10,133,281.4,82,94.7
135,Stamford School District,56,Cloonan School,2009-10,172,255.4,59.9,80.2
135,Stamford School District,53,Dolan School,2009-10,172,251.8,57.6,79.1
135,Stamford School District,58,Rippowam Middle School,2009-10,194,250.9,56.7,81.4
135,Stamford School District,8,Rogers International School,2009-10,78,286.8,82.1,93.6
135,Stamford School District,57,Scofield Middle School,2009-10,207,267.2,68.6,89.9
135,Stamford School District,55,Turn of River School,2009-10,153,256.4,63.4,85.6
136,Sterling School District,3,Sterling Community School,2009-10,61,252.5,59,78.7
137,Stonington School District,52,Mystic Middle School,2009-10,112,256.8,65.2,87.5
