District ID,School ID,District Name,School Name,School Year,Number of Students Tested ,Standard CAPT Score Summary Average Scale Score,Standard CAPT Score Summary Percent at/above goal level,Standard CAPT Score Summary Percent at/above proficient level,Standard CAPT Results by Below Basic,Standard CAPT Results by Basic,Standard CAPT Results by Proficient,Standard CAPT Results by Goal,Standard CAPT Results by Advanced,Assessment Participation Standard CAPT ,Assessment Participation Skills Checklist ,Assessment Participation Modified Assessment,Assessment Participation ELL Exempt ,Assessment Participation No Valid Score ,Assessment Participation Total Participation ,Assessment Participation Absent 
900,12,Connecticut Technical High School System,Henry Abbott Technical High School,2010-11,157,248.2,35.7,84.1,2.5,13.4,48.4,30.6,5.1,100,0,0,0,0,100,0
900,16,Connecticut Technical High School System,Howell Cheney Technical High School,2010-11,187,249.2,37.4,84.5,1.6,13.9,47.1,30.5,7,100,0,0,0,0,100,0
900,20,Connecticut Technical High School System,Norwich Technical High School,2010-11,175,257.5,49.7,92,1.7,6.3,42.3,39.4,10.3,100,0,0,0,0,100,0
900,22,Connecticut Technical High School System,Oliver Wolcott Technical High School,2010-11,177,254.3,42.4,89.3,2.3,8.5,46.9,31.1,11.3,100,0,0,0,0,100,0
900,26,Connecticut Technical High School System,Platt Technical High School,2010-11,222,261.1,48.2,95,0.5,4.5,46.8,35.1,13.1,100,0,0,0,0,100,0
900,18,Connecticut Technical High School System,Vinal Technical High School,2010-11,157,247.2,34.4,82.2,3.8,14,47.8,28,6.4,100,0,0,0,0,100,0
900,23,Connecticut Technical High School System,W. F. Kaynor Technical High School,2010-11,201,254,42.3,90,1,9,47.8,35.8,6.5,100,0,0,0,0,100,0
900,24,Connecticut Technical High School System,Windham Technical High School,2010-11,145,259.7,51,93.1,0.7,6.2,42.1,37.9,13.1,100,0,0,0,0,100,0
32,61,Coventry School District,Coventry High School,2010-11,128,259.7,55.5,83.6,6.3,10.2,28.1,33.6,21.9,92.1,2.9,2.2,0,0,97.1,2.9
33,61,Cromwell School District,Cromwell High School,2010-11,135,264.9,57.8,84.4,6.7,8.9,26.7,31.9,25.9,96.4,1.4,0,0,0.7,98.6,1.4
34,62,Danbury School District,Alternative Center For Excellence,2010-11,31,204.9,0,29,25.8,45.2,29,0,0,100,0,0,0,0,100,0
34,61,Danbury School District,Danbury High School,2010-11,717,230.5,27.6,62.8,18.3,19,35.1,18.4,9.2,89.6,0.5,2.1,2.3,3.9,98.4,1.6
35,61,Darien School District,Darien High School,2010-11,319,295.4,88.1,98.1,0.6,1.3,10,29.5,58.6,99.1,0,0.6,0,0,99.7,0.3
37,61,Derby School District,Derby High School,2010-11,67,219.1,16.4,43.3,19.4,37.3,26.9,14.9,1.5,88.2,2.6,3.9,1.3,1.3,97.4,2.6
40,61,East Granby School District,East Granby High School,2010-11,66,278.3,72.7,93.9,3,3,21.2,30.3,42.4,97.1,2.9,0,0,0,100,0
41,61,East Haddam School District,Nathan Hale-Ray High School,2010-11,95,267.4,58.9,89.5,1.1,9.5,30.5,29.5,29.5,93.1,2,2.9,0,0,98,2
42,61,East Hampton School District,East Hampton High School,2010-11,134,272.6,72.4,92.5,0.7,6.7,20.1,44.8,27.6,95.7,0,2.9,0.7,0.7,100,0
43,63,East Hartford School District,Connecticut IB Academy,2010-11,48,265.3,56.3,87.5,4.2,8.3,31.3,29.2,27.1,100,0,0,0,0,100,0
43,62,East Hartford School District,East Hartford High School,2010-11,369,220.7,16.8,50.9,22,27.1,34.1,12.7,4.1,94.6,1.8,1.8,0.8,1,100,0
43,64,East Hartford School District,Stevens Alternate High school,2010-11,43,189.3,0,16.3,41.9,41.9,16.3,0,0,95.6,0,0,0,4.4,100,0
44,61,East Haven School District,East Haven High School,2010-11,200,239.7,31,75,10.5,14.5,44,23.5,7.5,95.2,0,2.4,0,0.5,98.1,1.9
45,61,East Lyme School District,East Lyme High School,2010-11,289,283,74.7,96.2,1.4,2.4,21.5,31.8,42.9,96.7,2,1,0,0,99.7,0.3
47,61,East Windsor School District,East Windsor High School,2010-11,82,252,41.5,82.9,7.3,9.8,41.5,23.2,18.3,95.3,2.3,2.3,0,0,100,0
253,60,Eastern Connecticut Regional Educational Service Center,ACT Magnet School (Arts at the Capitol Theater) - Full Time,2010-11,24,252.4,33.3,83.3,4.2,12.5,50,16.7,16.7,100,0,0,0,0,100,0
253,61,Eastern Connecticut Regional Educational Service Center,Quinebaug Middle College,2010-11,35,224.5,14.3,60,14.3,25.7,45.7,14.3,0,100,0,0,0,0,100,0
48,61,Ellington School District,Ellington High School,2010-11,200,266.1,59.5,92,2.5,5.5,32.5,33,26.5,96.6,0.5,1.9,0,0,99,1
289,1,Elm City College Preparatory School,Elm City College Preparatory School,2010-11,,,,,,,,,,,,,,,,
49,61,Enfield School District,Enfield High School,2010-11,165,248.7,34.5,76.4,6.7,17,41.8,21.2,13.3,97.6,1.2,0,0,0,98.8,1.2
49,62,Enfield School District,Enrico Fermi High School,2010-11,255,253.5,41.2,85.1,3.9,11,43.9,27.1,14.1,94.4,1.9,2.6,0,0.4,99.3,0.7
272,61,Explorations District,Explorations,2010-11,26,220.3,11.5,57.7,15.4,26.9,46.2,11.5,0,96.3,0,0,0,0,96.3,3.7
51,60,Fairfield School District,Fairfield Ludlowe High School,2010-11,376,278.2,69.4,94.4,0.8,4.8,25,34,35.4,97.2,0.5,0.5,0,0.3,98.4,1.6
51,62,Fairfield School District,Fairfield Warde High School,2010-11,310,277,71,91.6,1.9,6.5,20.6,34.5,36.5,94.8,0.3,2.8,0,1.5,99.4,0.6
52,61,Farmington School District,Farmington High School,2010-11,321,289.4,81,95.3,0.6,4,14.3,31.2,49.8,96.7,0.3,1.8,0,0.6,99.4,0.6
54,61,Glastonbury School District,Glastonbury High School,2010-11,547,289.4,82.1,95.8,1.1,3.1,13.7,34.4,47.7,97.5,0.7,1.2,0.2,0,99.6,0.4
56,61,Granby School District,Granby Memorial High School,2010-11,190,290.3,84.7,98.9,0,1.1,14.2,31.1,53.7,98.4,1,0.5,0,0,100,0
57,61,Greenwich School District,Greenwich High School,2010-11,687,278.8,72.1,92.4,2,5.5,20.4,33.5,38.6,95.4,0.7,1.5,1,1.1,99.7,0.3
58,62,Griswold School District,Griswold High School,2010-11,167,254.7,44.9,83.8,2.4,13.8,38.9,32.3,12.6,94.9,0,3.4,0,1.7,100,0
59,61,Groton School District,Fitch Senior High School,2010-11,305,250.6,42,80,7.9,12.1,38,25.6,16.4,95.9,0.9,0.9,0,0.3,98.1,1.9
60,61,Guilford School District,Guilford High School,2010-11,269,282.3,76.2,95.2,1.1,3.7,19,34.6,41.6,97.5,0.7,1.4,0,0,99.6,0.4
62,61,Hamden School District,Hamden High School,2010-11,424,241.8,35.8,70.5,12,17.5,34.7,22.9,13,89.1,0.4,0,0,4.4,93.9,6.1
62,89,Hamden School District,Newschool2,2010-11,,,,,,,,,,,,,,,,
64,61,Hartford School District,Bulkeley High School Lower School,2010-11,175,221.6,7.4,62.9,10.3,26.9,55.4,6.9,0.6,67,2.7,10.3,2.3,8.4,90.8,9.2
64,69,Hartford School District,Capital Preparatory Magnet School,2010-11,45,238,20,71.1,4.4,24.4,51.1,15.6,4.4,100,0,0,0,0,100,0
64,64,Hartford School District,Classical Magnet School,2010-11,100,235.9,29,67,12,21,38,21,8,98,0,2,0,0,100,0
64,60,Hartford School District,Culinary Arts Academy,2010-11,38,212.1,5.3,60.5,21.1,18.4,55.3,5.3,0,71.7,1.9,22.6,0,1.9,98.1,1.9
64,76,Hartford School District,High School Inc.,2010-11,77,209.9,9.1,39,26,35.1,29.9,7.8,1.3,77,0,18,0,0,95,5
64,72,Hartford School District,HPHS Academy of Engineering and Green Technology,2010-11,86,209.8,10.5,40.7,32.6,26.7,30.2,7,3.5,76.8,0,12.5,0,1.8,91.1,8.9
64,74,Hartford School District,HPHS Law and Government Academy,2010-11,120,206.6,9.2,33.3,31.7,35,24.2,6.7,2.5,72.7,0,11.5,3.6,1.8,89.7,10.3
64,75,Hartford School District,HPHS Nursing Academy,2010-11,106,196.8,0.9,27.4,38.7,34,26.4,0.9,0,75.2,2.1,7.8,2.8,0.7,88.7,11.3
64,77,Hartford School District,Journalism and Media High School,2010-11,49,193.9,4.1,20.4,42.9,36.7,16.3,4.1,0,71,0,7.2,1.4,5.8,85.5,14.5
64,78,Hartford School District,OPPortunity High School,2010-11,41,177.1,0,19.5,61,19.5,19.5,0,0,80.4,0,11.8,0,0,92.2,7.8
64,66,Hartford School District,Pathways to Technology Magnet School,2010-11,65,232.7,24.6,60,10.8,29.2,35.4,20,4.6,90.3,2.8,6.9,0,0,100,0
64,65,Hartford School District,Sports and Medical Sciences Academy,2010-11,96,256.5,45.8,89.6,0,10.4,43.8,32.3,13.5,94.1,0,2.9,0,1,98,2
64,67,Hartford School District,University High School,2010-11,111,255.3,45,82,1.8,16.2,36.9,27,18,96.5,0,2.6,0,0,99.1,0.9
69,61,Killingly School District,Killingly High School,2010-11,168,241,27.4,75.6,6,18.5,48.2,19.6,7.7,94.9,0.6,1.7,0.6,0.6,98.3,1.7
245,60,Learn,Connecticut River Academy,2010-11,27,220.7,7.4,70.4,14.8,14.8,63,7.4,0,90,0,10,0,0,100,0
71,62,Lebanon School District,Lyman Memorial High School,2010-11,116,258.5,52.6,83.6,7.8,8.6,31,34.5,18.1,97.5,0,0,0,0.8,98.3,1.7
72,61,Ledyard School District,Ledyard High School,2010-11,212,268.2,59.9,93.4,1.4,5.2,33.5,34.9,25,94.6,1.8,3.1,0,0.4,100,0
73,60,Lisbon School District,Community Connection - The Big Picture High School,2010-11,,,,,,,,,,,,,,,,
74,61,Litchfield School District,Litchfield High School,2010-11,91,268.4,62.6,86.8,1.1,12.1,24.2,29.7,33,96.8,0,2.1,0,1.1,100,0
76,61,Madison School District,Daniel Hand High School,2010-11,314,277.3,72.3,97.5,0.3,2.2,25.2,40.4,31.8,97.2,0.9,0.9,0.3,0.3,99.7,0.3
77,61,Manchester School District,Manchester High School,2010-11,396,243.5,37.1,73.5,7.8,18.7,36.4,25.8,11.4,88.6,1.1,2.9,0.4,4,97.1,2.9
80,61,Meriden School District,Francis T. Maloney High School,2010-11,262,232.9,29,64.5,16.4,19.1,35.5,20.6,8.4,90.3,1.4,1.4,0,2.4,95.5,4.5
80,62,Meriden School District,Orville H. Platt High School,2010-11,213,231.4,25.4,61.5,16.9,21.6,36.2,18.3,7,85.9,1.6,2.4,0,1.6,91.5,8.5
83,62,Middletown School District,Middletown High School,2010-11,328,245.3,38.4,73.8,7,19.2,35.4,27.1,11.3,93.7,2,1.7,0,2,99.4,0.6
84,62,Milford School District,Jonathan Law High School,2010-11,229,256,46.3,80.3,5.7,14,34.1,26.2,20.1,93.1,2.8,1.2,0,0.8,98,2
84,63,Milford School District,Joseph A. Foran High School,2010-11,247,251.8,43.7,81,6.1,13,37.2,25.5,18.2,95.4,1.5,0.8,0,1.2,98.8,1.2
85,61,Monroe School District,Masuk High School,2010-11,294,275.8,72.4,94.2,1.4,4.4,21.8,42.2,30.3,97,0,1.7,0,0,98.7,1.3
86,61,Montville School District,Montville High School,2010-11,168,252.5,45.8,78,6,16.1,32.1,29.2,16.7,96,1.7,0.6,0,0.6,98.9,1.1
88,61,Naugatuck School District,Naugatuck High School,2010-11,258,254.8,50.8,85.7,4.3,10.1,34.9,39.5,11.2,91.2,2.1,0,0,6.7,100,0
89,61,New Britain School District,New Britain High School,2010-11,545,211.3,15.8,45.3,28.8,25.9,29.5,11.6,4.2,90.5,1.3,3.7,3.2,1.3,100,0
90,61,New Canaan School District,New Canaan High School,2010-11,349,291.4,86,98.3,0.9,0.9,12.3,35.2,50.7,98.3,1.1,0.3,0.3,0,100,0
91,61,New Fairfield School District,New Fairfield High School,2010-11,264,264.9,61,90.2,4.5,5.3,29.2,34.8,26.1,98.1,0,0.7,0,0,98.9,1.1
93,64,New Haven School District,Cooperative High School,2010-11,169,233.8,23.1,66.3,8.3,25.4,43.2,16.6,6.5,93.4,0,3.9,0,0.6,97.8,2.2
93,66,New Haven School District,High School In The Community,2010-11,63,206.8,6.3,31.7,30.2,38.1,25.4,4.8,1.6,80.8,0,10.3,0,5.1,96.2,3.8
93,63,New Haven School District,Hill Regional Career High School,2010-11,154,234.1,19.5,64.3,4.5,31.2,44.8,13,6.5,95.1,0,2.5,0,1.9,99.4,0.6
93,68,New Haven School District,Hyde Leadership School,2010-11,49,216.8,18.4,51,26.5,22.4,32.7,18.4,0,100,0,0,0,0,100,0
93,62,New Haven School District,James Hillhouse High School,2010-11,192,197.8,5.7,36.5,35.9,27.6,30.7,5.2,0.5,72.2,0.8,2.6,1.9,1.9,79.3,20.7
93,60,New Haven School District,Metropolitan Business High School,2010-11,96,221.3,9.4,58.3,17.7,24,49,6.3,3.1,95,0,3,0,1,99,1
93,70,New Haven School District,New Haven Academy,2010-11,63,222.2,12.7,50.8,7.9,41.3,38.1,11.1,1.6,88.7,0,0,0,9.9,98.6,1.4
93,67,New Haven School District,Sound School,2010-11,78,245.4,32.1,78.2,5.1,16.7,46.2,23.1,9,92.9,0,4.8,0,1.2,98.8,1.2
93,61,New Haven School District,Wilbur Cross High School,2010-11,167,228,29.3,58.1,24,18,28.7,15,14.4,66.5,4.8,11.6,1.2,1.6,85.7,14.3
95,61,New London School District,New London High School,2010-11,225,207,15.6,43.6,33.8,22.7,28,12,3.6,89.3,0.8,0.8,0.8,5.6,97.2,2.8
96,61,New Milford School District,New Milford High School,2010-11,357,266.4,59.9,88.5,2.5,9,28.6,32.8,27.2,96,1.1,0.5,0,1.9,99.5,0.5
94,61,Newington School District,Newington High School,2010-11,352,270.6,63.1,89.5,3.7,6.8,26.4,33.8,29.3,96.7,0.5,0.5,0,0,97.8,2.2
97,61,Newtown School District,Newtown High School,2010-11,445,275.9,68.5,94.4,0.4,5.2,25.8,37.5,31,96.9,0.9,1.3,0,0.2,99.3,0.7
99,61,North Branford School District,North Branford High School,2010-11,166,265.7,56.6,90.4,1.8,7.8,33.7,32.5,24.1,96,0.6,2.3,0.6,0,99.4,0.6
101,61,North Haven School District,North Haven High School,2010-11,267,268.2,61.4,89.1,3.7,7.1,27.7,33.7,27.7,96,0,1.8,0.4,0.4,98.6,1.4
102,61,North Stonington School District,Wheeler High School,2010-11,52,265.8,59.6,90.4,3.8,5.8,30.8,38.5,21.2,98.1,0,0,0,0,98.1,1.9
103,62,Norwalk School District,Brien McMahon High School,2010-11,386,244.4,35.2,74.4,8.8,16.8,39.1,21.2,14,95.3,1.2,0.5,1.2,0.5,98.8,1.2
103,63,Norwalk School District,Briggs High School,2010-11,,,,,,,,,,,,,,,,
103,61,Norwalk School District,Norwalk High School,2010-11,352,245.7,36.9,75,9.4,15.6,38.1,24.4,12.5,94.4,0.3,0.8,2.1,1.3,98.9,1.1
901,61,Norwich Free Academy,Norwich Free Academy,2010-11,500,252.5,45.6,79.8,8.6,11.6,34.2,27.4,18.2,92.8,0.9,1.5,2.4,0.7,98.3,1.7
104,61,Norwich School District,Thames River Academy,2010-11,,,,,,,,,,,,,,,,
106,61,Old Saybrook School District,Old Saybrook Senior High School,2010-11,132,267.5,59.8,90.9,3.8,5.3,31.1,34.8,25,100,0,0,0,0,100,0
108,60,Oxford School District,Oxford High School,2010-11,149,262.7,55.7,89.9,3.4,6.7,34.2,38.3,17.4,98.7,0,1.3,0,0,100,0
109,61,Plainfield School District,Plainfield High School,2010-11,188,239.7,27.7,75.5,7.4,17,47.9,22.9,4.8,94,3,1,0,0.5,98.5,1.5
110,61,Plainville School District,Plainville High School,2010-11,186,260.6,48.9,84.9,1.6,13.4,36,29.6,19.4,92.1,0,4.5,0,1,97.5,2.5
111,61,Plymouth School District,Terryville High School,2010-11,114,260.8,49.1,87.7,1.8,10.5,38.6,30.7,18.4,96.6,0,0,0,2.5,99.2,0.8
113,61,Portland School District,Portland High School,2010-11,81,278.1,66.7,96.3,2.5,1.2,29.6,25.9,40.7,91,0,5.6,0,3.4,100,0
116,61,Putnam School District,Putnam High School,2010-11,83,232.4,19.3,61.4,13.3,25.3,42.2,12,7.2,88.3,5.3,4.3,0,0,97.9,2.1
201,61,Regional School District 01,Housatonic Valley Regional High School,2010-11,112,263.5,56.3,89.3,3.6,7.1,33,32.1,24.1,93.3,0,5.8,0,0.8,100,0
204,61,Regional School District 04,Valley Regional High School,2010-11,157,276.6,70.7,94.9,0.6,4.5,24.2,35.7,35,96.9,0.6,2.5,0,0,100,0
205,61,Regional School District 05,Amity Regional High School,2010-11,378,286.5,80.7,96,0.5,3.4,15.3,37,43.7,96.2,0.3,1.8,0.3,0,98.5,1.5
206,61,Regional School District 06,Wamogo Regional High School,2010-11,97,266.8,58.8,89.7,4.1,6.2,30.9,26.8,32,98,0,0,0,2,100,0
207,61,Regional School District 07,Northwestern Regional High School,2010-11,179,276.8,72.6,96.1,0.6,3.4,23.5,43.6,29.1,100,0,0,0,0,100,0
208,61,Regional School District 08,RHAM High School,2010-11,282,277.9,71.6,94.3,1.8,3.9,22.7,37.6,34,96.9,0.7,1.7,0,0,99.3,0.7
209,61,Regional School District 09,Joel Barlow High School,2010-11,246,288.3,85,98.8,0.8,0.4,13.8,42.3,42.7,98.4,0,1.6,0,0,100,0
210,61,Regional School District 10,Lewis S. Mills High School,2010-11,190,277.5,75.8,95.8,0.5,3.7,20,43.7,32.1,97.9,1,1,0,0,100,0
211,61,Regional School District 11,Parish Hill High School,2010-11,35,254.5,51.4,80,8.6,11.4,28.6,34.3,17.1,92.1,2.6,5.3,0,0,100,0
212,61,Regional School District 12,Shepaug Valley High School,2010-11,85,273.5,67.1,90.6,0,9.4,23.5,36.5,30.6,95.5,2.2,2.2,0,0,100,0
213,61,Regional School District 13,Coginchaug Regional High School,2010-11,139,274.1,69.8,96.4,1.4,2.2,26.6,40.3,29.5,90.8,1.3,4.6,0,0.7,97.4,2.6
214,61,Regional School District 14,Nonnewaug High School,2010-11,212,269,60.8,90.6,0.9,8.5,29.7,34.4,26.4,97.2,1.4,0.5,0,0,99.1,0.9
215,62,Regional School District 15,Pomperaug Regional High School,2010-11,308,279.4,75.6,94.8,0,5.2,19.2,41.2,34.4,93.6,0.9,2.4,0,0.6,97.6,2.4
216,60,Regional School District 16,Woodland Regional High School,2010-11,175,264.7,53.1,92,1.7,6.3,38.9,26.9,26.3,94.1,1.1,1.6,0,0,96.8,3.2
217,61,Regional School District 17,Haddam-Killingworth High School,2010-11,156,265,56.4,88.5,2.6,9,32.1,30.1,26.3,95.7,0.6,1.8,0.6,0.6,99.4,0.6
218,61,Regional School District 18,Lyme-Old Lyme High School,2010-11,105,270.8,63.8,93.3,1,5.7,29.5,37.1,26.7,95.5,2.7,0.9,0,0,99.1,0.9
219,61,Regional School District 19,E. O. Smith High School,2010-11,287,274.1,66.9,91.6,1.7,6.6,24.7,33.1,33.8,93.8,0.7,1.6,0.3,2.3,98.7,1.3
118,61,Ridgefield School District,Ridgefield High School,2010-11,415,292.6,88.2,98.8,1,0.2,10.6,34.9,53.3,98.8,0,0.5,0.2,0,99.5,0.5
119,61,Rocky Hill School District,Rocky Hill High School,2010-11,176,267.4,56.8,89.2,2.3,8.5,32.4,30.1,26.7,97.2,0,1.7,0,0,98.9,1.1
124,61,Seymour School District,Seymour High School,2010-11,160,247.6,38.8,76.3,5,18.8,37.5,25,13.8,92.5,0.6,0.6,0.6,2.9,97.1,2.9
126,61,Shelton School District,Shelton High School,2010-11,365,262,57.8,85.2,3.6,11.2,27.4,34,23.8,95.3,0.5,1.8,1,0.5,99.2,0.8
128,61,Simsbury School District,Simsbury High School,2010-11,390,287.8,83.6,97.9,0.5,1.5,14.4,35.9,47.7,97.3,0.5,1.2,0.2,0.7,100,0
129,61,Somers School District,Somers High School,2010-11,142,272.6,65.5,92.3,1.4,6.3,26.8,34.5,31,98.6,0.7,0.7,0,0,100,0
132,62,South Windsor School District,South Windsor High School,2010-11,365,282.2,72.6,96.2,0.8,3,23.6,31.8,40.8,95.3,1,2.9,0,0.8,100,0
131,62,Southington School District,Southington High School,2010-11,440,273.2,68.2,94.1,1.1,4.8,25.9,38.2,30,91.5,0,5.8,0.6,1.2,99.2,0.8
134,61,Stafford School District,Stafford High School,2010-11,118,267.8,62.7,94.1,0,5.9,31.4,45.8,16.9,92.2,0.8,6.3,0,0.8,100,0
282,60,Stamford Academy,Stamford Academy,2010-11,21,181.9,0,9.5,42.9,47.6,9.5,0,0,77.8,0,11.1,0,0,88.9,11.1
135,61,Stamford School District,Stamford High School,2010-11,442,238.7,35.1,67.2,12.2,20.6,32.1,23.1,12,91.3,1.9,2.5,1.7,0.8,98.1,1.9
135,64,Stamford School District,The Academy of Information Technology,2010-11,178,263.2,53.9,89.3,2.2,8.4,35.4,31.5,22.5,100,0,0,0,0,100,0
135,63,Stamford School District,Westhill High School,2010-11,484,238.3,34.3,63,15.7,21.3,28.7,20,14.3,89,0.7,0.2,0.9,0.2,91,9
137,61,Stonington School District,Stonington High School,2010-11,192,266.3,64.1,88,2.1,9.9,24,38.5,25.5,98,0.5,1,0,0,99.5,0.5
138,62,Stratford School District,Bunnell High School,2010-11,276,257.2,47.8,85.5,3.3,11.2,37.7,28.6,19.2,92.6,3.4,3,0,0,99,1
138,61,Stratford School District,Stratford High School,2010-11,229,254.8,45.9,87.8,2.6,9.6,41.9,32.8,13.1,95.4,0.4,2.1,1.3,0.4,99.6,0.4
139,61,Suffield School District,Suffield High School,2010-11,210,275,69.5,90,3.3,6.7,20.5,29,40.5,100,0,0,0,0,100,0
269,61,The Bridge Academy District,The Bridge Academy,2010-11,43,224.1,14,55.8,14,30.2,41.9,11.6,2.3,87.8,0,4.1,0,6.1,98,2
902,61,The Gilbert School,The Gilbert School,2010-11,83,235.6,26.5,71.1,10.8,18.1,44.6,20.5,6,97.6,0,1.2,0,0,98.8,1.2
140,62,Thomaston School District,Thomaston High School,2010-11,78,247.3,37.2,80.8,6.4,12.8,43.6,24.4,12.8,96.3,0,3.7,0,0,100,0
141,61,Thompson School District,Tourtellotte Memorial High School,2010-11,77,241.8,33.8,74,7.8,18.2,40.3,22.1,11.7,96.3,1.3,0,0,2.5,100,0
142,61,Tolland School District,Tolland High School,2010-11,241,272.3,67.2,93.4,0.8,5.8,26.1,37.8,29.5,98,0,1.2,0,0,99.2,0.8
143,61,Torrington School District,Torrington High School,2010-11,250,241.2,32.8,73.6,10.8,15.6,40.8,24.4,8.4,91.9,0.4,2.6,1.1,2.6,98.5,1.5
144,61,Trumbull School District,Trumbull High School,2010-11,536,275.5,72,92.7,2.1,5.2,20.7,36.8,35.3,98,0,0.5,0.2,0,98.7,1.3
347,1,Unified School District #2,Connecticut Children's Place,2010-11,,,,,,,,,,,,,,,,
347,67,Unified School District #2,Connecticut Juvenile Training School,2010-11,26,180,0,11.5,57.7,30.8,11.5,0,0,56.5,0,17.4,0,26.1,100,0
347,3,Unified School District #2,Riverview Hospital,2010-11,,,,,,,,,,,,,,,,
146,61,Vernon School District,Rockville High School,2010-11,237,243.5,37.1,73.8,10.5,15.6,36.7,26.2,11,97.9,0.8,0,0.4,0.8,100,0
148,61,Wallingford School District,Lyman Hall High School,2010-11,289,258.5,49.1,86.5,3.5,10,37.4,31.5,17.6,97.3,0.3,0.7,0,0.7,99,1
148,62,Wallingford School District,Mark T. Sheehan High School,2010-11,232,268.7,64.2,91.4,2.6,6,27.2,34.5,29.7,96.3,0.4,0,0,2.1,98.8,1.2
151,62,Waterbury School District,Crosby High School,2010-11,300,203.8,6,36.3,30,33.7,30.3,5,1,87.2,3.2,6.1,0.9,2.3,99.7,0.3
151,64,Waterbury School District,John F. Kennedy High School,2010-11,299,216.8,15.4,48.8,24.7,26.4,33.4,10.4,5,84.7,1.7,7.1,1.1,3.7,98.3,1.7
151,60,Waterbury School District,Waterbury Arts Magnet School (High),2010-11,106,228.4,17.9,56.6,9.4,34,38.7,14.2,3.8,92.2,0,6.1,0,0.9,99.1,0.9
151,63,Waterbury School District,Wilby High School,2010-11,281,216,11.4,46.6,23.1,30.2,35.2,8.5,2.8,81.9,1.7,12,0.9,1.2,97.7,2.3
152,61,Waterford School District,Waterford High School,2010-11,233,264.3,57.9,91.4,2.1,6.4,33.5,37.3,20.6,94.7,2.4,0.8,0,0.8,98.8,1.2
153,61,Watertown School District,Watertown High School,2010-11,248,255.5,45.6,85.1,4,10.9,39.5,28.2,17.3,88.6,2.9,0.4,0,6.1,97.9,2.1
155,61,West Hartford School District,Conard High School,2010-11,414,270,61.6,89.4,1.7,8.9,27.8,30,31.6,96.7,0.7,0.5,0.7,0.5,99.1,0.9
155,62,West Hartford School District,Hall High School,2010-11,374,272.2,63.6,93,2.4,4.5,29.4,31.6,32.1,95.7,0.5,3.6,0.3,0,100,0
156,61,West Haven School District,West Haven High School,2010-11,351,227,20.8,60.7,16.5,22.8,39.9,15.1,5.7,90.7,1.3,2.3,0.3,2.6,97.2,2.8
154,61,Westbrook School District,Westbrook High School,2010-11,75,257.2,50.7,84,4,12,33.3,30.7,20,96.2,1.3,0,0,2.6,100,0
157,61,Weston School District,Weston High School,2010-11,201,291.8,86.1,98.5,0,1.5,12.4,32.3,53.7,98,0.5,0,0,0,98.5,1.5
158,61,Westport School District,Staples High School,2010-11,458,295.4,90.2,97.2,0.7,2.2,7,32.1,58.1,98.1,0,0.6,0,0,98.7,1.3
159,61,Wethersfield School District,Wethersfield High School,2010-11,247,268.9,63.2,91.1,3.6,5.3,27.9,34.8,28.3,95,0.8,1.2,0,0.8,97.7,2.3
161,61,Wilton School District,Wilton High School,2010-11,311,291,83.6,97.1,0,2.9,13.5,30.5,53.1,94.2,1.8,0.6,0,0.3,97,3
163,84,Windham School District,Partial Day Program,2010-11,,,,,,,,,,,,,,,,
163,61,Windham School District,Windham High School,2010-11,165,226.4,32.7,56.4,25.5,18.2,23.6,22.4,10.3,82.5,0.5,3.5,1.5,11.5,99.5,0.5
165,61,Windsor Locks School District,Windsor Locks High School,2010-11,130,252.6,43.8,83.8,4.6,11.5,40,33.1,10.8,90.9,4.2,2.8,0,0.7,98.6,1.4
164,61,Windsor School District,Windsor High School,2010-11,302,249.9,34.4,80.1,6.3,13.6,45.7,18.5,15.9,88.3,0.3,3.2,0,6.7,98.5,1.5
166,61,Wolcott School District,Wolcott High School,2010-11,204,271.6,64.2,93.6,1.5,4.9,29.4,35.3,28.9,97.1,1.4,1.4,0,0,100,0
903,61,Woodstock Academy,Woodstock Academy,2010-11,271,257.6,47.2,90,4.4,5.5,42.8,33.6,13.7,98.2,0,1.1,0,0.4,99.6,0.4
279,51,Amistad Academy District,Amistad Academy,2009-10,33,245.8,33.3,84.8,3,12.1,51.5,24.2,9.1,91.7,0,2.8,0,2.8,97.2,2.8
2,61,Ansonia School District,Ansonia High School,2009-10,177,230,27.7,62.1,16.9,20.9,34.5,24.9,2.8,93.7,1.1,1.6,0.5,2.1,98.9,1.1
244,61,Area Cooperative Educational Services,Collaborative Alternative Magnet School,2009-10,,,,,,,,,,,,,,,,
4,61,Avon School District,Avon High School,2009-10,273,284.4,79.5,96,1.1,2.9,16.5,32.6,46.9,98.6,0,0.4,0,1.1,100,0
7,61,Berlin School District,Berlin High School,2009-10,246,269.3,65.9,95.1,1.6,3.3,29.3,40.7,25.2,95.3,0,2.7,0,0,98.1,1.9
9,61,Bethel School District,Bethel High School,2009-10,233,265.6,61.8,88.8,3.4,7.7,27,37.8,24,98.3,0.8,0.4,0,0.4,100,0
11,61,Bloomfield School District,Bloomfield High School,2009-10,159,217.1,18.2,44.7,28.3,27,26.4,15.7,2.5,87.4,3.3,8.8,0,0.5,100,0
11,62,Bloomfield School District,The Big Picture High School,2009-10,20,218.1,20,45,20,35,25,20,0,83.3,0,16.7,0,0,100,0
