District ID,School ID,District Name,School Name,School Year,Number of Students Tested ,Standard CAPT Score Summary Average Scale Score,Standard CAPT Score Summary Percent at/above goal level,Standard CAPT Score Summary Percent at/above proficient level,Standard CAPT Results by Below Basic,Standard CAPT Results by Basic,Standard CAPT Results by Proficient,Standard CAPT Results by Goal,Standard CAPT Results by Advanced,Assessment Participation Standard CAPT ,Assessment Participation Skills Checklist ,Assessment Participation Modified Assessment,Assessment Participation ELL Exempt ,Assessment Participation No Valid Score ,Assessment Participation Total Participation ,Assessment Participation Absent 
103,63,Norwalk School District,Briggs High School,2006-07,31,180.2,0,16.1,58.1,25.8,16.1,0,0,88.6,0,N/A,0,8.6,97.1,2.9
103,61,Norwalk School District,Norwalk High School,2006-07,374,242.6,36.9,70.6,10.4,19,33.7,21.7,15.2,95.2,0,N/A,1.5,2,98.7,1.3
901,61,Norwich Free Academy,Norwich Free Academy,2006-07,575,254.2,49.6,84.3,7.1,8.5,34.8,30.4,19.1,94,0.5,N/A,0.7,0.5,95.6,4.4
104,91,Norwich School District,Deborah-Tennant Zinewicz  School,2006-07,,,,,,,,,,,,,,,,
104,61,Norwich School District,Thames River Academy,2006-07,24,212.1,4.2,37.5,33.3,29.2,33.3,4.2,0,96,0,N/A,0,0,96,4
106,61,Old Saybrook School District,Old Saybrook Senior High School,2006-07,125,272.7,72,92,1.6,6.4,20,40,32,99.2,0.8,N/A,0,0,100,0
109,61,Plainfield School District,Plainfield High School,2006-07,239,234.4,25.1,70.3,11.3,18.4,45.2,20.9,4.2,95.6,1.6,N/A,0,0,97.2,2.8
110,61,Plainville School District,Plainville High School,2006-07,206,249.9,43.7,79.6,5.8,14.6,35.9,30.1,13.6,97.6,0,N/A,0.5,0,98.1,1.9
111,61,Plymouth School District,Terryville High School,2006-07,146,247.4,39,81.5,6.2,12.3,42.5,26.7,12.3,95.4,0,N/A,0.7,2,98,2
113,61,Portland School District,Portland High School,2006-07,80,263.1,62.5,88.8,3.8,7.5,26.3,37.5,25,100,0,N/A,0,0,100,0
